B Num,Symbol,EcoCycID,ECK Num
b2219,atoS,EG11667,ECK2212
b3734,atpA,EG10098,ECK3727
b3734,papA,EG10098,ECK3727
b3734,uncA,EG10098,ECK3727
b3738,atpB,EG10099,ECK3731
b3738,papD,EG10099,ECK3731
b3738,uncB,EG10099,ECK3731
b3731,atpC,EG10100,ECK3724
b3731,papG,EG10100,ECK3724
b3731,uncC,EG10100,ECK3724
b3732,atpD,EG10101,ECK3725
b3732,papB,EG10101,ECK3725
b3732,uncD,EG10101,ECK3725
b3737,atpE,EG10102,ECK3730
b3737,papH,EG10102,ECK3730
b3737,uncE,EG10102,ECK3730
b3736,atpF,EG10103,ECK3729
b3736,papF,EG10103,ECK3729
b3736,uncF,EG10103,ECK3729
b3733,atpG,EG10104,ECK3726
b3733,papC,EG10104,ECK3726
b3733,uncG,EG10104,ECK3726
b3735,atpH,EG10105,ECK3728
b3735,papE,EG10105,ECK3728
b3735,uncH,EG10105,ECK3728
b3739,atpI,EG10106,ECK3732
b3739,uncI,EG10106,ECK3732
b3572,avtA,EG10107,ECK3561
b1412,azoR,G6731,ECK1405
b1412,acpD,G6731,ECK1405
b4663,azuC,G0-10653,ECK4478
b3057,bacA,EG11665,ECK3047
b3057,uppP,EG11665,ECK3047
b2079,baeR,EG11618,ECK2075
b2078,baeS,EG11617,ECK2074
b0177,bamA,G6093,ECK0176
b0177,yzzY,G6093,ECK0176
b0177,yzzN,G6093,ECK0176
b0177,ecfK,G6093,ECK0176
b0177,yaeT,G6093,ECK0176
b2512,bamB,G7320,ECK2508
b2512,yfgL,G7320,ECK2508
b2477,bamC,EG10658,ECK2473
b2477,dapX,EG10658,ECK2473
b2477,nlpB,EG10658,ECK2473
b2595,bamD,G7352,ECK2593
b2595,ecfD,G7352,ECK2593
b2595,yfiO,G7352,ECK2593
b2617,bamE,EG10952,ECK2613
b2617,smpA,EG10952,ECK2613
b2617,smqA,EG10952,ECK2613
b2786,barA,EG11367,ECK2780
b2786,airS(S.t.),EG11367,ECK2780
b4113,basR,EG11615,ECK4106
b4113,pmrA,EG11615,ECK4106
b4112,basS,EG11614,ECK4105
b4112,pmrB,EG11614,ECK4105
b3570,bax,EG11360,ECK3559
b2480,bcp,EG10108,ECK2476
b2182,bcr,EG11419,ECK2176
b2182,bicA,EG11419,ECK2176
b2182,bicR,EG11419,ECK2176
b2182,sur,EG11419,ECK2176
b2182,suxA,EG11419,ECK2176
b3533,bcsA,EG12260,ECK3518
b3533,yhjP,EG12260,ECK3518
b3533,yhjO,EG12260,ECK3518
b3532,bcsB,EG12259,ECK3517
b3532,yhjN,EG12259,ECK3517
b3530,bcsC,EG12257,ECK3515
b3530,yhjL,EG12257,ECK3515
b3536,bcsE,EG12263,ECK3521
b3536,yhjS,EG12263,ECK3521
b3537,bcsF,EG12264,ECK3522
b3537,yhjT,EG12264,ECK3522
b3538,bcsG,EG12265,ECK3523
b3538,yhjU,EG12265,ECK3523
b3534,bcsQ,EG12261,ECK3519
b3534,yhjQ,EG12261,ECK3519
b3531,bcsZ,EG12258,ECK3516
b3531,bcsC,EG12258,ECK3516
b3531,yhjM,EG12258,ECK3516
b4249,bdcA,G7880,ECK4243
b4249,yjgI,G7880,ECK4243
b4251,bdcR,G7882,ECK4244
b4251,yjgJ,G7882,ECK4244
b1481,bdm,G6776,ECK1475
b1481,yddX,G6776,ECK1475
b1151,beeE,G6595,ECK1137
b1151,ymfO,G6595,ECK1137
b2494,bepA,G7311,ECK2490
b2494,yfgC,G7311,ECK2490
b0311,betA,EG10109,ECK0309
b0312,betB,EG10110,ECK0310
b0313,betI,EG10111,ECK0311
b0314,betT,EG10112,ECK0312
b3337,bfd,EG11181,ECK3324
b3337,yheA,EG11181,ECK3324
b3336,bfr,EG10113,ECK3323
b2901,bglA,G495,ECK2896
b2901,yqfC,G495,ECK2896
b2901,bglD,G495,ECK2896
b3721,bglB,EG10114,ECK3714
b3721,blgA,EG10114,ECK3714
b3722,bglF,EG10115,ECK3715
b3722,bglS,EG10115,ECK3715
b3723,bglG,EG10116,ECK3716
b3723,bglC,EG10116,ECK3716
b3720,bglH,EG11364,ECK3713
b3720,yieC,EG11364,ECK3713
b4366,bglJ,G7948,ECK4356
b4366,yjjR,G7948,ECK4356
b2132,bglX,EG12013,ECK2125
b2132,glh,EG12013,ECK2125
b2132,yohA,EG12013,ECK2125
b1112,bhsA,G6570,ECK1098
b1112,ycfR,G6570,ECK1098
b1112,comC,G6570,ECK1098
b0774,bioA,EG10117,ECK0763
b0775,bioB,EG10118,ECK0764
b0777,bioC,EG10119,ECK0766
b0778,bioD,EG10120,ECK0767
